date,open,high,low,close,change_percent
1990-08-17,332.36,332.36,324.63,327.83,-1.37
1994-02-24,470.65,470.65,464.26,464.26,-1.37
1999-09-15,1336.29,1347.21,1317.97,1317.97,-1.37
2000-03-30,1508.52,1517.38,1474.63,1487.92,-1.37
2004-05-07,1113.99,1117.3,1098.63,1098.7,-1.37
2007-12-14,1486.1899,1486.67,1467.78,1467.95,-1.37
2008-08-29,1296.49,1297.59,1282.74,1282.83,-1.37
2009-06-03,942.51,942.51,923.85,931.76,-1.37
2018-06-25,2742.9399,2742.9399,2698.6699,2717.0701,-1.37
2023-10-03,4269.75,4281.1499,4216.4502,4229.4502,-1.37
2024-02-13,4967.94,4971.3,4920.31,4953.168,-1.37
1928-05-22,19.36,19.36,19.36,19.36,-1.38
1930-11-28,16.38,16.38,16.38,16.38,-1.38
1933-01-09,7.13,7.13,7.13,7.13,-1.38
1933-09-07,10.7,10.7,10.7,10.7,-1.38
1934-01-03,9.97,9.97,9.97,9.97,-1.38
1938-02-02,10.74,10.74,10.74,10.74,-1.38
1938-05-18,10.0,10.0,10.0,10.0,-1.38
1940-04-16,12.15,12.15,12.15,12.15,-1.38
1941-04-30,9.31,9.31,9.31,9.31,-1.38
1946-06-18,18.55,18.55,18.55,18.55,-1.38
1948-08-10,15.74,15.74,15.74,15.74,-1.38
1952-01-30,24.23,24.23,24.23,24.23,-1.38
1971-11-11,92.12,93.54,91.64,92.12,-1.38
1974-06-17,90.04,91.34,89.63,90.04,-1.38
1974-12-03,67.17,68.13,66.62,67.17,-1.38
1975-01-08,70.04,71.53,69.65,70.04,-1.38
1980-06-19,114.66,116.81,114.36,114.66,-1.38
1982-08-06,105.16,105.16,103.67,103.71,-1.38
1987-10-08,318.54,319.34,312.02,314.16,-1.38
2002-09-23,845.39,845.39,825.76,833.7,-1.38
2003-04-25,911.43,911.43,897.52,898.81,-1.38
2004-04-13,1145.2,1147.78,1127.7,1129.4399,-1.38
2004-04-28,1138.11,1138.11,1121.7,1122.41,-1.38
2013-06-05,1629.05,1629.3101,1607.09,1608.9,-1.38
2023-02-16,4114.75,4136.54,4089.49,4090.4099,-1.38
2023-08-02,4550.9302,4550.9302,4505.75,4513.3901,-1.38
1932-05-03,5.66,5.66,5.66,5.66,-1.39
1938-01-27,10.64,10.64,10.64,10.64,-1.39
1938-03-31,8.5,8.5,8.5,8.5,-1.39
1943-02-18,10.66,10.66,10.66,10.66,-1.39
1944-07-21,12.78,12.78,12.78,12.78,-1.39
1955-07-07,42.58,42.58,42.58,42.58,-1.39
1957-08-26,43.89,43.89,43.89,43.89,-1.39
1962-01-05,69.66,70.84,69.35,69.66,-1.39
1962-10-01,55.49,56.31,55.26,55.49,-1.39
1971-08-18,98.6,100.19,98.06,98.6,-1.39
1971-10-20,95.65,97.45,95.23,95.65,-1.39
1973-11-30,95.96,97.55,95.4,95.96,-1.39
1974-03-27,96.59,98.26,96.32,96.59,-1.39
1975-07-23,90.18,92.15,89.83,90.18,-1.39
1978-10-20,97.95,99.26,97.12,97.95,-1.39
1987-01-23,273.91,280.96,268.41,270.1,-1.39
1991-01-03,326.46,326.53,321.9,321.91,-1.39
1997-02-05,789.26,792.71,773.43,778.28,-1.39
2002-04-26,1091.48,1096.77,1076.3101,1076.3199,-1.39
2002-08-27,947.95,955.82,930.36,934.82,-1.39
2004-09-22,1129.3,1129.3,1112.67,1113.5601,-1.39
2007-08-15,1426.15,1440.78,1404.36,1406.7,-1.39
2012-11-14,1374.64,1380.13,1352.5,1355.49,-1.39
2013-06-19,1651.83,1652.45,1628.91,1628.9301,-1.39
2015-09-09,1971.45,1988.63,1937.88,1942.04,-1.39
1936-11-23,16.89,16.89,16.89,16.89,-1.4
1940-11-08,11.23,11.23,11.23,11.23,-1.4
1941-02-13,9.84,9.84,9.84,9.84,-1.4
1941-10-09,9.84,9.84,9.84,9.84,-1.4
1942-03-02,8.47,8.47,8.47,8.47,-1.4
1948-07-16,16.25,16.25,16.25,16.25,-1.4
1950-06-14,18.98,18.98,18.98,18.98,-1.4
1956-01-09,44.51,44.51,44.51,44.51,-1.4
1956-04-10,47.93,47.93,47.93,47.93,-1.4
1956-09-25,45.75,45.75,45.75,45.75,-1.4
1962-05-09,64.26,65.17,64.02,64.26,-1.4
1970-01-19,89.65,90.72,89.14,89.65,-1.4
1970-08-10,76.2,77.4,75.72,76.2,-1.4
1973-06-25,102.25,103.64,101.71,102.25,-1.4
1974-04-05,93.01,94.24,92.55,93.01,-1.4
1980-02-27,112.38,115.12,111.91,112.38,-1.4
1990-06-22,360.52,363.2,355.31,355.43,-1.4
1992-10-02,416.29,416.35,410.45,410.47,-1.4
1998-10-05,1002.6,1002.6,964.72,988.56,-1.4
1999-02-24,1271.1801,1283.84,1251.9399,1253.41,-1.4
2000-12-14,1359.99,1359.99,1340.48,1340.9301,-1.4
2002-08-20,950.7,950.7,931.86,937.43,-1.4
2003-01-17,914.6,914.6,899.02,901.78,-1.4
2003-04-09,878.29,887.35,865.72,865.99,-1.4
2007-05-10,1512.33,1512.33,1491.42,1491.47,-1.4
2011-06-10,1288.6,1288.6,1268.28,1270.98,-1.4
2015-11-12,2072.29,2072.29,2045.66,2045.97,-1.4
2020-10-06,3408.74,3431.5601,3354.54,3360.97,-1.4
1934-01-31,11.17,11.17,11.17,11.17,-1.41
1938-06-10,9.8,9.8,9.8,9.8,-1.41
1938-07-26,12.62,12.62,12.62,12.62,-1.41
1969-07-08,97.63,98.98,97.15,97.63,-1.41
1978-11-07,93.85,94.75,93.14,93.85,-1.41
1983-05-02,164.41,164.42,161.99,162.11,-1.41
1985-08-06,190.62,190.72,187.87,187.93,-1.41
1991-04-29,379.01,380.96,373.66,373.66,-1.41
1992-04-20,416.05,416.05,407.93,410.18,-1.41
1998-10-07,984.59,995.66,957.15,970.68,-1.41
2003-01-08,922.93,922.93,908.32,909.93,-1.41
2003-02-04,860.32,860.32,840.19,848.2,-1.41
2003-06-23,995.69,995.69,977.4,981.64,-1.41
1929-03-11,24.95,24.95,24.95,24.95,-1.42
1930-11-26,16.61,16.61,16.61,16.61,-1.42
1931-09-16,11.82,11.82,11.82,11.82,-1.42
1934-12-19,9.03,9.03,9.03,9.03,-1.42
1941-04-09,9.7,9.7,9.7,9.7,-1.42
1947-08-25,15.23,15.23,15.23,15.23,-1.42
1961-09-25,65.77,65.77,65.77,65.77,-1.42
1962-09-26,56.15,57.29,55.92,56.15,-1.42
1970-05-14,75.44,76.64,74.03,75.44,-1.42
1973-04-24,109.99,111.89,109.64,109.99,-1.42
1974-12-23,65.96,67.18,65.34,65.96,-1.42
1979-02-05,98.09,99.07,97.57,98.09,-1.42
1988-10-12,277.91,277.93,273.05,273.98,-1.42
